City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Challans,FR,71.8,broken clouds,46.8436,-1.8749,Citotel Le Challans
1,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
2,Rikitea,PF,73.76,light rain,-23.1203,-134.9692,People ThankYou
5,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
7,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Bubaque,GW,80.4,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
12,Cockburn Town,TC,82.85,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
17,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
21,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
23,Kieta,PG,77.41,light rain,-6.2167,155.6333,Uruna Bay Retreat
24,Keti Bandar,PK,81.46,overcast clouds,24.1447,67.4497,Haji laloo memon house
28,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
29,Cangzhou,CN,78.66,overcast clouds,38.3167,116.8667,Jinji Express Hotel
30,Atuona,PF,77.18,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
31,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
33,Jamestown,US,80.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Bousso,TD,73.72,overcast clouds,10.4795,16.7117,
38,Kutum,SD,78.64,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
40,Saint Anthony,US,79.25,moderate rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
43,Nikolskoye,RU,73.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
44,Waingapu,ID,73.83,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
51,Asau,RO,70.72,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
52,Korla,CN,76.91,clear sky,41.7597,86.1469,Gulisitan Hotel
53,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
54,Albany,US,81.18,overcast clouds,42.6001,-73.9662,
56,Cortez,US,78.69,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
57,Oum Hadjer,TD,82.2,overcast clouds,13.2954,19.6966,
60,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,The Explorer Hotel
63,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
66,Lodja,CD,75.7,broken clouds,-3.4833,23.4333,
69,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
