City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Challans,FR,46.8436,-1.8749,71.8,76,82,17.18,broken clouds
1,Victoria,HK,22.2855,114.1577,84.38,86,96,5.99,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,73.76,75,54,18.63,light rain
3,Lasa,IT,46.6166,10.7002,63.48,92,73,3.4,broken clouds
4,Sur,OM,22.5667,59.5289,90.84,57,99,15.5,overcast clouds
5,Thompson,CA,55.7435,-97.8558,71.76,68,75,13.8,broken clouds
6,Torbay,CA,47.6666,-52.7314,62.76,95,100,5.75,mist
7,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,97,5.01,overcast clouds
8,Bubaque,GW,11.2833,-15.8333,80.4,79,41,17.9,scattered clouds
9,Dongsheng,CN,39.8161,109.9776,67.8,47,34,12.12,scattered clouds
10,Cape Town,ZA,-33.9258,18.4232,57.61,79,75,14.97,broken clouds
11,East London,ZA,-33.0153,27.9116,59.94,72,0,14.97,clear sky
12,Cockburn Town,TC,21.4612,-71.1419,82.85,79,58,14.99,broken clouds
13,Busselton,AU,-33.65,115.3333,56.95,75,95,10.22,overcast clouds
14,Sitka,US,57.0531,-135.33,57.09,88,20,4.61,few clouds
15,Erenhot,CN,43.6475,111.9767,58.26,66,0,12.28,clear sky
16,Tasiilaq,GL,65.6145,-37.6368,50.16,73,98,4.94,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,73.8,60,75,4.61,broken clouds
18,Oga,IT,46.4631,10.347,59.81,91,82,3.0,broken clouds
19,Santa Isabel,BR,-23.3156,-46.2214,87.1,24,92,12.64,overcast clouds
20,Cayenne,GF,4.9333,-52.3333,87.84,62,0,13.8,clear sky
21,Georgetown,MY,5.4112,100.3354,80.89,80,20,3.44,few clouds
22,Knyaze-Volkonskoye,RU,48.4642,135.4567,68.34,94,99,4.14,overcast clouds
23,Kieta,PG,-6.2167,155.6333,77.41,84,92,5.88,light rain
24,Keti Bandar,PK,24.1447,67.4497,81.46,89,100,14.9,overcast clouds
25,Filadelfia,US,39.9523,-75.1638,88.5,41,40,12.66,scattered clouds
26,Necochea,AR,-38.5473,-58.7368,48.54,58,33,23.55,scattered clouds
27,Khatanga,RU,71.9667,102.5,38.64,77,72,7.78,broken clouds
28,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,65,75,6.78,broken clouds
29,Cangzhou,CN,38.3167,116.8667,78.66,98,100,6.49,overcast clouds
30,Atuona,PF,-9.8,-139.0333,77.18,73,25,24.27,scattered clouds
31,Kahului,US,20.8947,-156.47,80.62,74,40,8.99,scattered clouds
32,Ushuaia,AR,-54.8,-68.3,42.46,65,40,16.11,scattered clouds
33,Jamestown,US,42.097,-79.2353,80.06,43,20,8.05,few clouds
34,Nanjing,CN,32.0617,118.7778,87.71,74,96,3.76,overcast clouds
35,Krivosheino,RU,57.3431,83.9261,50.4,96,100,3.51,overcast clouds
36,Bousso,TD,10.4795,16.7117,73.72,90,100,2.82,overcast clouds
37,Chokurdakh,RU,70.6333,147.9167,47.48,82,46,9.73,scattered clouds
38,Kutum,SD,14.2,24.6667,78.64,54,91,4.25,overcast clouds
39,Whitehorse,CA,60.7161,-135.0538,61.11,58,75,13.0,broken clouds
40,Saint Anthony,US,45.0205,-93.218,79.25,70,100,8.05,moderate rain
41,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,11.5,broken clouds
42,Galveston,US,29.3669,-94.9669,97.02,59,0,4.0,clear sky
43,Nikolskoye,RU,59.7035,30.7861,73.29,62,100,3.58,overcast clouds
44,Waingapu,ID,-9.6567,120.2641,73.83,71,40,10.65,scattered clouds
45,Port Alfred,ZA,-33.5906,26.891,56.17,94,89,5.99,moderate rain
46,Saint-Philippe,RE,-21.3585,55.7679,69.22,82,21,12.15,few clouds
47,Castro,BR,-24.7911,-50.0119,57.11,96,100,6.64,moderate rain
48,Bluff,NZ,-46.6,168.3333,50.41,85,26,11.01,scattered clouds
49,Berbera,SO,10.4396,45.0143,94.28,41,62,5.73,broken clouds
50,Murdochville,CA,48.9583,-65.5006,54.48,99,100,3.87,overcast clouds
51,Asau,RO,46.4333,26.4,70.72,79,41,5.03,scattered clouds
52,Korla,CN,41.7597,86.1469,76.91,36,1,2.98,clear sky
53,Pitimbu,BR,-7.4706,-34.8086,81.19,73,63,16.46,broken clouds
54,Albany,US,42.6001,-73.9662,81.18,54,100,4.0,overcast clouds
55,Upernavik,GL,72.7868,-56.1549,40.32,91,100,4.68,overcast clouds
56,Cortez,US,37.3489,-108.5859,78.69,45,0,3.44,clear sky
57,Oum Hadjer,TD,13.2954,19.6966,82.2,65,86,4.5,overcast clouds
58,Provideniya,RU,64.3833,-173.3,42.24,75,47,6.17,scattered clouds
59,Mataura,NZ,-46.1927,168.8643,47.66,97,95,0.83,overcast clouds
60,Yellowknife,CA,62.456,-114.3525,72.12,64,75,18.01,broken clouds
61,Saldanha,ZA,-33.0117,17.9442,56.52,78,57,19.51,broken clouds
62,Adrar,MR,20.5022,-10.0711,96.22,32,75,7.47,broken clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,54,0,24.16,clear sky
64,Lexington,US,37.9887,-84.4777,85.89,51,0,4.61,clear sky
65,Tuatapere,NZ,-46.1333,167.6833,45.46,94,28,4.88,scattered clouds
66,Lodja,CD,-3.4833,23.4333,75.7,67,58,2.71,broken clouds
67,Airai,TL,-8.9266,125.4092,52.27,51,65,2.3,broken clouds
68,Abu Dhabi,AE,24.4667,54.3667,91.96,79,74,6.91,broken clouds
69,Kapaa,US,22.0752,-159.319,81.12,76,11,1.99,few clouds
70,Vaini,TO,-21.2,-175.2,71.76,73,20,12.66,few clouds
71,Alice Springs,AU,-23.7,133.8833,47.75,66,39,9.22,scattered clouds
72,Coahuayana,MX,18.7333,-103.6833,92.03,53,90,4.07,overcast clouds
