City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-08-18 04:52:56,73.5069,80.5464,40.87,78,100,8.46
1,Busselton,AU,2022-08-18 04:52:57,-33.65,115.3333,59.95,59,57,12.82
2,Ribeira Grande,PT,2022-08-18 04:52:58,38.5167,-28.7,71.33,64,42,2.93
3,Port Alfred,ZA,2022-08-18 04:52:58,-33.5906,26.891,51.19,88,5,3.0
4,Cape Town,ZA,2022-08-18 04:52:48,-33.9258,18.4232,55.11,90,75,9.22
5,Bilibino,RU,2022-08-18 04:53:01,68.0546,166.4372,58.98,34,1,7.2
6,Bluff,NZ,2022-08-18 04:49:52,-46.6,168.3333,49.35,98,100,9.26
7,Namatanai,PG,2022-08-18 04:53:02,-3.6667,152.4333,82.38,75,57,10.18
8,Barrow,US,2022-08-18 04:53:03,71.2906,-156.7887,35.73,92,100,20.13
9,Albany,US,2022-08-18 04:53:03,42.6001,-73.9662,61.86,94,100,3.83
10,Longyearbyen,SJ,2022-08-18 04:53:04,78.2186,15.6401,44.44,81,75,0.0
11,Mount Gambier,AU,2022-08-18 04:53:05,-37.8333,140.7667,53.35,85,93,10.6
12,Qaanaaq,GL,2022-08-18 04:48:07,77.484,-69.3632,34.32,80,100,1.99
13,Amahai,ID,2022-08-18 04:53:06,-3.3333,128.9167,80.89,75,95,12.12
14,Chase,CA,2022-08-18 04:50:35,50.8165,-119.6857,78.15,49,0,1.5
15,Batticaloa,LK,2022-08-18 04:53:07,7.7102,81.6924,85.62,66,94,4.88
16,Saint-Leu,RE,2022-08-18 04:53:07,-21.15,55.2833,74.23,65,0,3.83
17,Ushuaia,AR,2022-08-18 04:53:08,-54.8,-68.3,38.86,60,75,12.66
18,Bredasdorp,ZA,2022-08-18 04:53:10,-34.5322,20.0403,52.41,92,60,9.04
19,Songea,TZ,2022-08-18 04:53:10,-10.6833,35.65,52.95,94,20,0.0
20,Jamestown,US,2022-08-18 04:53:11,42.097,-79.2353,57.18,72,100,1.99
21,Alofi,NU,2022-08-18 04:53:11,-19.0595,-169.9187,69.69,78,9,19.57
22,Chuy,UY,2022-08-18 04:53:12,-33.6971,-53.4616,47.48,85,34,10.58
23,Mahebourg,MU,2022-08-18 04:53:13,-20.4081,57.7,72.25,88,40,3.44
24,Isangel,VU,2022-08-18 04:52:47,-19.55,169.2667,71.31,84,100,12.86
25,Umtata,ZA,2022-08-18 04:53:13,-31.5889,28.7844,41.56,93,0,1.14
26,Hasaki,JP,2022-08-18 04:51:53,35.7333,140.8333,82.29,82,100,24.83
27,Cherskiy,RU,2022-08-18 04:53:14,68.75,161.3,61.79,39,3,17.47
28,Saint George,US,2022-08-18 04:52:07,37.1041,-113.5841,84.79,49,0,7.0
29,Kavaratti,IN,2022-08-18 04:53:15,10.5669,72.642,81.54,76,41,11.16
30,Kamaishi,JP,2022-08-18 04:53:16,39.2667,141.8833,69.53,94,100,5.86
31,Tuktoyaktuk,CA,2022-08-18 04:53:16,69.4541,-133.0374,57.2,88,100,11.5
32,Noshiro,JP,2022-08-18 04:53:17,40.2039,140.0242,72.43,92,100,5.5
33,Mahanoro,MG,2022-08-18 04:53:18,-19.9,48.8,71.62,71,4,6.02
34,Salalah,OM,2022-08-18 04:53:18,17.0151,54.0924,75.38,95,100,3.96
35,Cockburn Town,TC,2022-08-18 04:51:01,21.4612,-71.1419,82.58,75,66,15.46
36,Tiksi,RU,2022-08-18 04:53:20,71.6872,128.8694,45.37,84,19,11.92
37,Avera,US,2022-08-18 04:53:20,33.194,-82.5271,71.65,82,47,4.99
38,Moses Lake,US,2022-08-18 04:52:04,47.1301,-119.2781,86.68,21,5,3.4
39,Bonoua,CI,2022-08-18 04:53:21,5.2741,-3.595,71.22,85,22,2.3
40,Saskylakh,RU,2022-08-18 04:53:21,71.9167,114.0833,44.67,80,100,17.16
41,Tasiilaq,GL,2022-08-18 04:53:22,65.6145,-37.6368,36.84,71,99,5.1
42,Beringovskiy,RU,2022-08-18 04:53:23,63.05,179.3167,46.08,68,55,4.83
43,Sitka,US,2022-08-18 04:53:23,57.0531,-135.33,57.09,100,100,0.0
44,Mataura,NZ,2022-08-18 04:54:24,-46.1927,168.8643,50.88,98,99,1.66
45,Broken Hill,AU,2022-08-18 04:54:24,-31.95,141.4333,68.02,24,96,24.58
46,Hobart,AU,2022-08-18 04:54:25,-42.8794,147.3294,60.26,62,40,18.41
47,Ahipara,NZ,2022-08-18 04:54:25,-35.1667,173.1667,63.75,94,100,21.36
48,Pochutla,MX,2022-08-18 04:54:26,15.7432,-96.4661,79.83,93,99,3.22
49,Yerbogachen,RU,2022-08-18 04:54:27,61.2767,108.0108,52.21,93,100,7.07
50,Khandyga,RU,2022-08-18 04:54:28,62.6667,135.6,61.97,73,98,2.06
51,Alta Floresta,BR,2022-08-18 04:51:13,-9.8756,-56.0861,75.4,45,48,2.35
